title	content
Jesse Eisenberg and Kieran Culkin Make a Radiantly Generous Duo in A Real Pain	Nearly everyone knows a person like the character Kieran Culkin plays in A Real Pain, the story of two cousins who trek to Poland to connect with their Jewish roots, and with the past of the grandmot… [+5383 chars]
With ‘A Real Pain,’ Jesse Eisenberg May Have Inspired Kieran Culkin to Direct: ‘If I Did, I Would Want to Do it the Way He Did It’	Though they play diametrically opposed cousins in the recently released film“A Real Pain,”Kieran Culkin and Jesse Eisenberg may be more like-minded in their sensibilities than people might think. Tak… [+2509 chars]
Jesse Eisenberg Sets ‘A Real Pain’ Follow-Up, A Musical Comedy To Star Julianne Moore & Paul Giamatti	EXCLUSIVE: While looking to break into the Oscars race with his glowingly reviewed sophomore feature A Real Pain, Jesse Eisenberg has set up his next film, an untitled musical comedy to star Julianne… [+3758 chars]
Jesse Eisenberg, Kieran Culkin Drive ‘A Real Pain’ To Top 3 Limited Opening As Audiences Dig Diverse Indie Slate – Specialty Box Office	The independent film fall festival love affair with moviegoers continues with A Real Pain posting the year’s third best per screen average. Anora continues its standout run as does Conclave. The Ralp… [+3489 chars]
‘Anora’, ‘A Real Pain’ Expand, Crunchyroll’s ‘Overlord’ & ‘Small Things Like These’ – Specialty Box Office	Cannes Palm d’Or winner Anora went wide and A Real Pain expansion in limited release, both nicely, with Crunchyroll’s Japanese epic fantasy OVERLORD: The Sacred Kingdom and Small Things Like These at… [+1939 chars]
‘Small Things Like These’, ‘Christmas Eve In Miller’s Point’, ‘Bird’, ‘Meanwhile On Earth’ New, ‘Anora’ Goes Wide – Specialty Preview	Box office darling Anora, Sean Baker’s Cannes Palme d’Or winner from Neon, goes wide Friday after a slow platform, expanding to 1,104 screens as indies continue to bust onto screens. Searchlight Pict… [+4439 chars]
"Time Moves On: Jesse Eisenberg on ""A Real Pain"""	"In Jesse Eisenberg's ""A Real Pain,"" now in theaters, two cousins reunite for a tour through Poland in honor of their recently deceased grandmother, who lived there before the Holocaust. Hoping that t… [+15464 chars]"
Emily Nussbaum’s ‘Cue the Sun!: The Invention of Reality TV’ In The Works As Docuseries With Topic Studios	EXCLUSIVE: Topic Studios, the company behind films including Spencer and Spotlight, has snapped up the rights to Emily Nussbaum’s Cue the Sun!: The Invention of Reality TV.  The company is planning t… [+1689 chars]
A Real Pain Is Excruciatingly Tense And Powerful {Review}	Posted in: Movies, Review | Tagged: a real pain, jesse eisenberg, Kieran Culkin  A Real Pain is painfully tense and hard to watch in some parts, in all the best ways. A shoo-in come awards season.  A… [+3774 chars]
Live With Kieran Culkin: On 'A Real Pain,' Post-'Succession' “Terror,” and His Next Big Role	While shooting A Real Pain, Kieran Culkin didnt love being told where to sit. This sort of direction had become unfamiliar for the Emmy- and Golden Globe winning actor, after four seasons of the free… [+3071 chars]
Where to Watch ‘A Real Pain’: Is the Kieran Culkin Movie Streaming?	Following its successful debut at the Sundance Film Festival in January, A Real Pain is now playing, written and directed by Jesse Eisenberg (who also happens to star in it).  He appears alongside Em… [+1327 chars]
Sideshow/Janus Films Debuts Payal Kapadia’s Acclaimed Cannes Grand Prix Winner ‘All We Imagine As Light’ – Specialty Preview	Partners Sideshow Pictures and Janus Films open All We Imagine As Light on Friday and will follow the playbook for Drive My Car, the indie distributor’s first film that began a slow rollout about thi… [+6506 chars]
The captivating charm of Kieran Culkin	"For 42-year-old Kieran Culkin, visiting the building in Manhattan's Yorkville neighborhood where he spent the first eight years of his life brings back unusual memories. ""I remember my mom baking a c… [+6624 chars]"
Awards Season Is Already in Full Swing — A Starry, Teary Academy Governors Awards Is Just the Start	The 15th annual Academy Governors Awards on Sunday night brought tears and laughs to the Ray Dolby Ballroom in Hollywood, as usual packed with Oscar hopefuls and AMPAS voters as the awards season get… [+11279 chars]
‘A Real Pain’ Opens to Robust $60,000 Per Theater Average at Specialty Box Office	While the box office was quiet on the wide release front ahead of election day, the specialty market was busy as films like Searchlights A Real Pain entered in limited release while others like Neons… [+2312 chars]
Makeready In New 3-Year Deal With Fifth Season & Topic Studios; Sydney Title Set To Run TV Division	EXCLUSIVE: Makeready, the production company led by producer Brad Weston and Netflix alum Collin Creighton, has extended by three years its overall deal with Fifth Season. Joining the party is Topic … [+4154 chars]
