title	content
This new slow-burn thriller features one of 2024’s best performances	Conclave doesn’t just feel like an Agatha Christie mystery — it also begins like one. The film’s opening moments follow its beleaguered protagonist, Thomas Cardinal Lawrence (Ralph Fiennes), as he hu… [+5863 chars]
Santa Barbara Film Festival Awards: Ralph Fiennes Set As Performer Of The Year For ‘Conclave’	Ralph Fiennes, who currently stars in Focus Features’ awards-season drama Conclavefrom Edward Berger, has been selected to receive the Outstanding Performer of the Year Award at the 40th Santa Barbar… [+1187 chars]
‘Conclave’ Screenwriter Peter Straughan on That Wild Ending, and Why ‘The Goldfinch’ Movie Was ‘a Mistake from the Beginning’	Editor’s Note: The following story contains major spoilers for the movie “Conclave,” now in theaters.  British screenwriter and playwright Peter Straughan is likely looking at a Best Adapted Screenpl… [+9873 chars]
It’s Time for Ralph Fiennes’ Third Oscar Nomination: The Actor on ‘Conclave,’ Playing Odysseus, and Danny Boyle’s ’28 Years Later’	Can a great actor be taken for granted?   It’s been 30 years since Ralph Fiennes broke out as vicious Nazi Amon Goeth in “Schindler’s List,” which earned him his first Oscar nomination, followed thre… [+8539 chars]
Older Demos, Still Elusive, Bless ‘Conclave’ Amid Indie Surge – Specialty Box Office	Four top films this weekend are indies – five including The Substance at no. 11, as the specialty market roars back to life. No. 3 at the domestic box office is a great story, Conclave from Focus Fea… [+4730 chars]
Acclaimed Pope Thriller ‘Conclave’ Gets Digital Streaming Date	"Ralph Fiennes in ""Conclave.""  Focus Features  Conclavethe critically acclaimed papal thriller starring Ralph Fiennesis coming soon to digital streaming.  Rated PG, Conclave opened in theaters on Octo… [+2626 chars]"
‘Small Things Like These’, ‘Christmas Eve In Miller’s Point’, ‘Bird’, ‘Meanwhile On Earth’ New, ‘Anora’ Goes Wide – Specialty Preview	Box office darling Anora, Sean Baker’s Cannes Palme d’Or winner from Neon, goes wide Friday after a slow platform, expanding to 1,104 screens as indies continue to bust onto screens. Searchlight Pict… [+4439 chars]
Peter Bart: Indies Put Their Faith In Older Demos For Serious Fare Like ‘Conclave’	“The best antidote for a bad election is a good movie,” Richard M. Nixon once proclaimed, and for many filmgoers this week Conclavehelped blot out the political noise. A papal thriller with a shock e… [+2773 chars]
Jesse Eisenberg, Kieran Culkin Drive ‘A Real Pain’ To Top 3 Limited Opening As Audiences Dig Diverse Indie Slate – Specialty Box Office	The independent film fall festival love affair with moviegoers continues with A Real Pain posting the year’s third best per screen average. Anora continues its standout run as does Conclave. The Ralp… [+3489 chars]
Edward Berger & Austin Butler Out With Hot Time Travel Package ‘The Barrier’; MacMillan Hedges To Adapt His Own Short Story – The Dish	EXCLUSIVE: All Quiet helmer Edward Berger and Austin Butler are out to the town with The Barrier, a hot time travel package that is expected to spur competitive bidding, sources tell Deadline.  Plot … [+2084 chars]
Conclave Review: The Picking of a Pope Becomes Fascinating Viewing — Seriously	Conclave begins with a death, but while the Ralph Fiennes-starring movie isn’t a murder mystery, director Edward Berger’s follow-up to 2022’s All Quiet on the Western Front almost treats it that way.… [+5132 chars]
‘Venom: The Last Dance’ Foxtrots To $8M In Thursday Previews – Box Office	EXCLUSIVE: Currently we hear that Sony/Marvel’s Venom: The Last Danceis eyeing around $8M in previews tonight, maybe more by the morning. Showtimes began at 2PM in U.S. Canada at 3,500 locations.   A… [+1864 chars]
There can only be one pope in the delightfully preposterous 'Conclave'	Ralph Fiennes in Conclave.  Focus Features  The new movie Conclave is a fun and twisty political thriller. Ralph Fiennes plays a cardinal tasked to managing the secretive process in which the pope is… [+425 chars]
Conclave Ending Explained: Breaking Down The Shocking Twist And What Director Edward Berger Has To Say About It	Spoiler Warning! The following article contains major spoilers for the Conclave ending. If you have yet to see Edward Berger’s papal thriller and don’t want the masterful twist ruined, please come ba… [+6464 chars]
‘Venom 3’ slinks to $51 million, lowest opening weekend of comic book trilogy	Venom: The Last Dance is No. 1 at the box office, but the comic book film fell significantly short of expectations.  The third and final entry in Sonys Marvel antihero series, led by Tom Hardy, opene… [+5728 chars]
Box Office: ‘Venom: The Last Dance’ Misses Projections by Millions as Superhero Films Popularity Continues to Crater	NEW YORK (AP) Venom: The Last Dance showed less bite than expected at the box office, collecting $51 million in its opening weekend, according to studio estimates Sunday, significantly down from the … [+2612 chars]
Post-Screening Movie Hype Tweets, Decoded	A new Oscar combatant has stepped into the Colosseum. Over the past week, Paramount unveiled Ridley Scotts Gladiator II to a handpicked audience of journalists and influencers, many of whom duly part… [+7717 chars]
