movie,title,code,content
wicked,‘Annoyed’ Cynthia Erivo schools Dax Shepard on how she wipes her butt with crazy-long nails,A,Cynthia Erivo nailed her response to Dax Shepard’s “inappropriate” question about how she maintains proper hygiene with extra-long nails.  “Can I ask you a really crazy question that’s inappropriate?… [+3200 chars]
conclave,"‘Conclave’: John Lithgow Talks About His Catholic Thriller, ‘The Old Man’ & More [The Discourse Podcast]",A,"In this weeks episode of The Discourse, host Mike DeAngelo has a crisis of faith while discussing Focus Features‘ Conclave. The film follows a Cardinal tasked with leading one of the worlds most secr… [+7494 chars]"
gladiator_ii,‘Gladiator II’ Exclusive: Denzel Washington Discusses His Roguish Roman Role And Reveals The Highlight Of His Career!,A,"This week Gladiator II arrives in theaters and we spoke with one of the film’s most iconic actors, Denzel Washington about his role in the project as well as his work bringing August Wilson’s plays t… [+2791 chars]"
gladiator_ii,"‘Gladiator II’: Ridley Scott, Paul Mescal, Denzel Washington, Pedro Pascal & Connie Nielsen Reveal How All Roads Led To Ancient Rome",A,"A ship-to-shore invasion with fleets of Roman battleships fighting with trebuchets and thousands of archers. A naval duel to the death inside a flooded, shark-infested coliseum. A fight against a ram… [+34986 chars]"
gladiator_ii,Bad guys have all the fun until the end: Denzel Washington on ‘Gladiator II’ role,A,"New Delhi, Nov 6: Bad guys have all the fun, says Denzel Washington who turns antagonist for Ridley Scotts Gladiator II and took the conscious decision to not watch the first Russel Crowe starrer bec… [+4042 chars]"
wicked,Ariana Grande brings her skilful falsetto and superb comedic timing to the world of Wicked,A,"You needn't be a fan of Wicked to be clued into the discourse surrounding the long-awaited movie that's been several years in the making waylaid first by COVID, then by the SAG strike.  What: A fanta… [+5772 chars]"
wicked,Cynthia Erivo reveals how strikes & illness affected 'Defying Gravity',A,"On the latest episode of the   Las Culturistas podcast cohosted by Bowen Yang and Matt Rogers, Cynthia Erivo spilled some piping hot behind-the-scenes tea on how the SAG-AFTRA strike of 2023 and a su… [+4745 chars]"
gladiator_ii,Denzel Washington commands ancient Rome and movie theaters with 'Gladiator II',A,"The biggest surprise of Gladiator II is not that Denzel Washington is great. Instead, its how pivotal his character Macrinus is to the long-awaited sequel starring Paul Mescal as the heir of Russell … [+4547 chars]"
heretic,‘Heretic’ Does the Impossible—Makes Hugh Grant Boring,A,"Chloe East, Hugh Grant and Sophie Thatcher in Heretic. Kimberley French/Courtesy of A24  Since he first popped and fopped into our moviegoing lives in the late ’80s, Hugh Grant has been charming, clo… [+3699 chars]"
heretic,‘Heretic’ Exclusive Featurette Bears Witness a Dark New Side of Hugh Grant,A,"For a symbol thats often regarded as the true mascot of the Halloween season, its strange that pumpkins arent the focus of more horror movies especially when you consider the spooky folklore surround… [+6002 chars]"
heretic,"‘You Can't Trust Anything He Says Or Does’: The Special, Detailed Way Hugh Grant Helped Maintain The Mystery With His Heretic Character",A,"SPOILER WARNING: The following article contains major spoilers for the film Heretic. If you have not yet seen the new horror movie, proceed at your own risk!  When Hugh Grant’s Mr. Reed is first intr… [+4703 chars]"
heretic,"‘You’ll Find Him Utterly Terrifying.’ Critics Weigh In On Heretic, The Latest Chapter In Hugh Grant’s Villain Era",A,"Spooky season may have reached its official end, but the list of upcoming horror movies   continues to provide. Some of the best scary movies   have been distributed by A24 in recent years, and Hugh … [+5690 chars]"
gladiator_ii,A villainous Denzel Washington steals the show from a beefed-up Paul Mescal in Gladiator II,A,"As a legacy sequel, Gladiator II can't help but open on a note of cynicism; following in the footsteps of the Star Wars and Terminator films, Ridley Scott's latest can only justify its existence by e… [+6101 chars]"
wicked,Ariana Grande Understands Fan Criticism Of Her ‘Wicked’ Casting: “I Get It”,A,"As a longtime Wicked fan, Ariana Grande knew she had some big slippers to fill with her casting as Galinda Upland.  While discussing the audition process for Jon M. Chu‘s feature adaptation of the Br… [+1683 chars]"
your_monster,‘Your Monster’ Star Melissa Barrera Says She “Never Felt Anything Weird” About Kissing a Monster: “It Just Felt Very Natural”,A,"Melissa Barrera is ready to be the new scream queen.   “I have so much respect for so many iconic scream queens that have come before,” Barrera told Decider in a recent Zoom interview. “That anyone w… [+6704 chars]"
wicked,Ariana Grande Plans On “Reconnecting” With Musical Theater After ‘Wicked’,A,"As Wicked makes the long-awaited leap from the stage to the screen, Ariana Grande is contemplating a return to her roots.  The 2x Grammy winner recently opened up about the “healing” experience of po… [+1470 chars]"
gladiator_ii,"""Gladiator II"" star Paul Mescal on his relationship with fame",A,"Walking through the streets of Dublin, Paul Mescal said, ""There's this weird sensation about landing into the city – I don't know, it just makes me feel calm.""  The Irish actor was not going to get m… [+5803 chars]"
wicked,Cynthia Erivo Inks First-Look Deal With Universal Pictures,A,"“Wicked” star Cynthia Erivo‘s production company, Edith’s Daughter, has signed a first-look deal with Universal Pictures.   The pact expands on the Tony, Grammy and Emmy-winning star’s relationship w… [+2562 chars]"
wicked,Cynthia Erivo Proves She Can Defy Gravity at the Wicked Premiere,A,"And the Tony winner didn't want to know anything about what was going on with the audition process for her own sanity.  ""I kept telling my team, 'Do not give me any information. I don't want to know,… [+531 chars]"
wicked,"Cynthia Erivo reveals the ‘Wicked’ scene that was ‘sometimes painful, sometimes joyous’ to film",A,"The story of love and friendship between two legendary witches in Wicked inspires real-life tears, both on and off the screen.  The upcoming film, set to hit theaters Nov. 22, is the first of a two-p… [+3260 chars]"
red_one,Dwayne Johnson Wants To Reinvent Himself (Again),A,You can tell a lot about a film by when its review embargo is dropped. The closer the embargo is to the release then the greater the chances are that it’s not very good. Studios do this to keep a tig… [+6953 chars]
wicked,"Everything to know about Elphaba, Cynthia Erivo's 'Wicked' character",A,"Elphaba, and the wickedness thrust upon her!  L. Frank Baum's 1900 novel The Wonderful Wizard of Oz originated a fascinating figure that's now existed in the cultural zeitgeist for over 120 years fro… [+13963 chars]"
a_real_pain,"For 'A Real Pain,' Jesse Eisenberg learned to embrace the chaos of Kieran Culkin. Magic ensued",A,"Jesse Eisenberg did not know Kieran Culkin was about to drop out of his movie.  It was just a few weeks before shooting was about to begin on A Real Pain, and Eisenberg and much of the crew were alre… [+6568 chars]"
gladiator_ii,Gladiator II Star on the Impactful Return of Connie Nielsen,A,"Posted in: Movies, Paramount Pictures | Tagged: connie nielsen, Gladiator, gladiator ii, Paramount Pictures, paul mescal, ridley scott  Gladiator II star Paul Mescal praises Connie Nielsen's return a… [+3002 chars]"
heretic,Heretic Review: That Hugh Grant Is a Devil,A,"As his metaphors for the unsatisfying nature of organized belief grow, so too do Barnes suspicions, who unlike Paxton was originally raised outside the Church of Jesus Christ Latter Day Saints and is… [+2274 chars]"
heretic,"Heretic star Hugh Grant says he created a ""full biography"" for his horror movie villain and believes audiences love baddies as ""it's a recognition of our true nature - selfish, evil, cruel, vicious""",A,"Although British actor Hugh Grant has played villains before in the likes of Paddington 2 and Dungeons &amp; Dragons: Honor Among Thieves, his menacing role in A24's new horror movie Heretic feels wo… [+2722 chars]"
heretic,Heretic: Hugh Grant wrote a full biography for his horror movie villain,A,"Part of Hugh Grant’s approach to playing his villainous character in Heretic involved writing a full biography for the guy  The A24 horror film Heretic  , which is coming our way from the writing and… [+3218 chars]"
heretic,"Hugh Grant Created A ""Massive"" Backstory For His Evil Heretic Character Mr. Reed",A,"The article contains spoilers for Heretic.  As Hugh Grant takes on a dastardly and villainous role in Heretic, he thought of an elaborate and expansive backstory for Mr. Reed ahead of filming. A24's … [+3471 chars]"
heretic,Hugh Grant Makes Religion Even Creepier than Usual in Heretic: Review,A,"The new A24 movie Heretic kicks off with a jump scare familiar to modern viewers: A knock at the door, from two missionaries for the Church of Jesus Christ of Latter-Day Saints. That said, before the… [+3712 chars]"
heretic,Hugh Grant Prepared an Entire Backstory for His Heretic Character,A,"Posted in: A24, Movies | Tagged: a24, film, Heretic, hugh grant  Hugh Grant reveals how he typically approaches roles while also discussing his character in the popular A24 film Heretic.  Article Sum… [+2436 chars]"
wicked,Ethan Slater & Marissa Bode Reflect On Their Wonderful Journey To ‘Wicked’ [Interview],A,"To be frank, when the interview confirmations came through we were a bit disappointed we didn’t get to speak to “Wicked” stars Cynthia Erivo or Ariana Grande. And we’re still scratching our heads as … [+6057 chars]"
heretic,HERETIC Featurette Focuses on The Dark Side of Hugh Grant,A,"A24 has released a new featurette for the upcoming horror movie Heretic, which centers on two Mormon sister missionaries who find themselves in a horrific and twisted experience after they knock on t… [+1149 chars]"
gladiator_ii,Little Britain’s Matt Lucas explains how he landed campy role in Gladiator II,A,Actor and comedian Matt Lucas has spoken about how he got cast in Ridley Scotts Gladiator II.  The gay Little Britain star appears in the new historical drama as the master of ceremonies at the Colos… [+2359 chars]
a_real_pain,"Live With Kieran Culkin: On 'A Real Pain,' Post-'Succession' “Terror,” and His Next Big Role",A,"While shooting A Real Pain, Kieran Culkin didnt love being told where to sit. This sort of direction had become unfamiliar for the Emmy- and Golden Globe winning actor, after four seasons of the free… [+3071 chars]"
