title	content
'Gladiator II' is a messy successor that delivers better spectacle than sensibility	"Paul Mescal as Lucius in ""Gladiator II.""Aidan Monaghan/Paramount Pictures  <ul><li>""Gladiator II"" is a sequel to Ridley Scott's 2000 film ""Gladiator"" starring Russell Crowe.</li><li>The new movie wor… [+5165 chars]"
The Monkey Is the Secret Hero of Gladiator II	Warning: This post contains spoilers for Gladiator II.  You don't notice one of the most important characters in Gladiator II until late in the runtime of Ridley Scott's latest feature, out Nov. 22. … [+4912 chars]
‘Gladiator’ Arrives on Limited-Edition Steelbook, Ahead of Film’s Upcoming Sequel Release	If you purchase an independently reviewed product or service through a link on our website, Rolling Stone may receive an affiliate commission.  It’s been more than two decades since the first Gladiat… [+2411 chars]
The Only History ‘Gladiator II’ Cares About Is Its Own	[Editor’s note: The following article contains spoilers for “Gladiator II.”]  As should be abundantly clear after “Napoleon,” “Robin Hood,” and “Kingdom of Heaven,” Ridley Scott is interested in hist… [+9057 chars]
How Much Gladiator II Needs To Make To Become A Box Office Hit	Ridley Scott, who is now closer to 90 than he is 80, continues to fire on all cylinders. Not only is he still making movies, but he's also making them on the biggest scale imaginable. To that end, hi… [+1860 chars]
Final Trailer for Ridley Scott's 'Gladiator II' with Denzel & Paul & Pedro	"by Alex BillingtonNovember 18, 2024Source:YouTube  ""Just here for the games!"" Let the games begin. Paramount Pictures has debuted one final promo trailer for Ridley Scott's Gladiator II movie, the lo… [+2499 chars]"
‘Wicked,’ ‘Gladiator II,’ and All the Films and TV Shows We’re Watching This November	If you purchase an independently reviewed product or service through a link on our website, Rolling Stone may receive an affiliate commission.  November brings both the familiar and the new to screen… [+6685 chars]
Denzel Washington Says Gay ‘Gladiator II’ Kiss Was Cut: ‘I Think They Got Chicken’	Denzel Washington kissed a guy, and he’d have liked it to stay in “Gladiator II.”  Washington told Gayety in the below video that a kiss between his character Macrinus and another man was cut from th… [+3032 chars]
Ridley Scott’s Gleefully Gonzo Gladiator II Is Bigger Than Its Predecessor – But Not Better [Review]	Warning: The following article contains mild spoilers for Gladiator II.  Let’s address the elephant in the room or rather, the rhino the arena up front: Gladiator II isn’t anywhere near as good as it… [+5896 chars]
‘Total Hollywood BS’: Gladiator 2 Is Historically Inaccurate, Historian Says	Gladiator IIhasn’t been released yet, but its trailer is already giving historians much to talk about. Dr. Shadi Bartsch, a classics professor who has written several books on ancient Rome, bluntly d… [+4167 chars]
10 Weekend Reads	The weekend is here! Pour yourself a mug of Danish Blend coffee, grab a seat outside, and get ready for our longer-form weekend reads:How Trump Won, What Happens Next, and How Disconnects Drove Democ… [+3098 chars]
Did GLADIATOR II Cut a Gay Kiss? The Kiss Controversy, Explained	Listen, if there’s one thing that’s for sure, it’s that the Gladiator franchise could be gayer. I mean, have you ever looked at ancient Rome? That was a literal haven for gay and queer relationships … [+4598 chars]
‘Gladiator II’ Reviews: How Do Critics Compare Sequel To Original?	"Paul Mescal in ""Gladiator II.""  Paramount Pictures  Ridley Scotts Gladiator IIstarring Paul Mescal, Denzel Washington, Pedro Pascal and Connie Nielsenis new in theaters. Do critics think it is as goo… [+3861 chars]"
‘Gladiator 2’ Cut Gay Kiss, Says Denzel Washington: ‘I Kissed a Guy Full on the Lips and I Guess They Weren’t Ready for That Yet’	Denzel Washington revealed in a video interview with Gayety that he kissed a man on the lips while filming “Gladiator II,” but the scene was cut out from the theatrical cut of the long-awaited sequel… [+1885 chars]
