title	content
Everyone’s Favorite Rom-Com Bestie Finally Has a Movie of Her Own. Why Did It Have to Be This One?	For years now, an online shop called Super Yaki has been selling T-shirts and hats printed with the message Judy Greer shouldve been the lead. That there is a market for such merch is a testament to … [+5575 chars]
‘The Best Christmas Pageant Ever’ Review: Judy Greer Leads a Faith-Based Christmas Film That’s Only for the True Believers	The opening seconds of “The Best Christmas Pageant Ever” inform us that the Herdmans are the worst children ever because they steal, take the Lord’s name in vain, and smoke cigars — even the girls, t… [+4726 chars]
‘The Best Christmas Pageant Ever’ Review: A Faith Based Family Holiday Comedy That Knows The True Meaning Of A Christmas Movie	There is a reason certain Christmas movies stand the test of time and return year after year, and also a reason the Hallmark-style factory-made product is easily forgotten. It’s a Wonderful Life, Whi… [+4303 chars]
Heretic Aims To Make Hugh Grant A Horror Star At The Box Office	"October ended up being a bit of a bust relative to very high expectations, so far as the overall box office was concerned. ""Joker: Folie a Deux"" bombed in spectacular fashion, starting things off on … [+1661 chars]"
When Will ‘The Best Christmas Pageant Ever’ Come To Streaming?	"""The Best Christmas Pageant Ever"" poster.  Lionsgate  The Best Christmas Pageant Evera family holiday comedy starring Judy Greer and Pete Holmesis new in theaters. When will it be available to watch … [+3576 chars]"
Box Office: ‘Heretic’ and ‘Best Christmas Pageant Ever’ Vie for Second, ‘Venom 3’ Notches Third Weekend on Top	The major Hollywood studios skirted this weekend and held off on new releases, a decision that likely hedged against an uncertain national mood following the presidential election. Their absence is o… [+3536 chars]
‘Heretic’ And ‘Christmas Pageant’ Debut Strong At Weekend Box Office	"Hugh Grant in ""Heretic.""  A24  The Hugh Grant horror thriller Heretic and The Best Christmas Pageant Ever are in a fight for a No. 2 debut at the weekend box office.  The films are the two biggest en… [+2630 chars]"
Hugh Grant’s ‘Heretic’ Could Scare Off ‘Venom 3’ This Weekend; Curtains Lift On ‘The Best Christmas Pageant Ever’ – Box Office Preview	It’s not that clear cut that Sony’s Venom: The Last Dancewill take No. 1 in its third weekend; the movie looking to do around $12M. Exhibitors are betting that A24‘s Hereticcould do as much, if not m… [+2385 chars]
‘Venom 3’ Leads Box Office Again, A24’s ‘Heretic’ Scares Up $11 Million Debut in Sleepy Weekend	“Venom: The Last Dance” is looming over the domestic box office in its third weekend of release. The third and final installment in Sony’s comic book trilogy has added $16.2 million from 3,905 North … [+4747 chars]
Box Office: Hugh Grant’s ‘Heretic’ Makes $1.2 Million in Previews	Halloween may be over, but the scares keep on coming.  A24 and Hugh Grant‘s new horror movie “Heretic” is launching at the box office this weekend, and it’s made $1.2 million so far in Thursday previ… [+1442 chars]
‘Heretic’ Stirs Up $1.2M In Previews, ‘Venom 3’ Crossing $100M Today – Box Office	A24’s Heretic, the R-rated horror movie from A Quiet Place scribes Scott Beck and Bryan Woods, began its journey this weekend with $1.2 million in previews last night that began at 7 p.m. That figure… [+1850 chars]
Dwayne Johnson’s ‘Red One’ Targets $30 Million Box Office Bounty	Will “Red One,” a Christmas action-comedy where Dwayne Johnson plays Santa’s head of security, bring movie theaters a box office bounty?  The film, from Amazon MGM, is targeting $30 million to $35 mi… [+2884 chars]
"Judy Greer & Pete Holmes Express ""Jealousy"" Over Their Onscreen Kids' Talent In The Best Christmas Pageant Ever"	Exclusive: Screen Rant presents a clip from new bowling comedy, The Gutter, which stars Shameik Moore, Susan Sarandon, DArcy Carden, and Paul Reiser.
Judy Greer Credits Maggie Gyllenhaal’s ‘Secretary’ Role for Making ‘Quirky’ Lead Actresses Cool	Judy Greer is giving Maggie Gyllenhaal her due as an indie icon.  Greer said during Sony Music Entertainment’s Dinner’s On Me Podcast, hosted by Jesse Tyler Ferguson, that it was Gyllenhaal’s star-ma… [+2862 chars]
