title	content
Add Ninjago To the List of Live-Action Lego Movies We’re Getting	You may remember hearing a few days ago that Universal formally announced a trio of live-action Lego movies that’ll be individually helmed by Patty Jenkins (Wonder Woman1984), Joe Cornish (The Kid Wh… [+1715 chars]
Lego Just Signed an Impressive Trio of Directors for Future Live-Action Movies	Lego’s deal with Universalstruck after its partnership with Warner Bros., home of The Lego Movie, ended in 2020is producing some big returns: the two companies have just signed a trio of directors, e… [+1800 chars]
Dwayne Johnson & Chris Evans Christmas Pic ‘Red One’ Eyes $36M U.S. Opening – Box Office Early Look	Amazon MGM Studios‘ big $200M Dwayne Johnson and Chris Evans Santa Claus caper movie, Red One, landed on tracking recently and it’s eyeing a $36M opening in U.S./Canada with a chance for upside. The … [+1910 chars]
Dwayne Johnson’s ‘Red One’ Targets $30 Million Box Office Bounty	Will “Red One,” a Christmas action-comedy where Dwayne Johnson plays Santa’s head of security, bring movie theaters a box office bounty?  The film, from Amazon MGM, is targeting $30 million to $35 mi… [+2884 chars]
‘Red One’ Looks To Light Up $25M-$30M In Early Overseas Bow – International Box Office Preview	Getting a head start on the holiday season, Warner Bros begins overseas release on Amazon MGM Studios’ Red One today in such majors as the UK, Korea and Spain. Through Friday, a total 75 internationa… [+2128 chars]
‘Red One’ Clears $3.7M Previews: Dwayne Johnson & Chris Evans $200M+ Production Eyes $35M Opening – Friday AM Box Office	The very expensive, but typically priced, Dwayne Johnson $200M+ Christmas packageRed Onebegan its weekend journey last night with previews totaling $3.7M. Note that figure also includes monies from a… [+3451 chars]
‘Jumanji 3’ To Stampede Into Theaters December 2026	Jumanji 3is happening on Dec. 11, 2026, Sony has just announced. That’s the same pre-Christmas slot that Sony has launched the entire Jumanji franchise. The movie will have full command of Imax and P… [+1358 chars]
Jake Kasdan, Patty Jenkins & Joe Cornish Set To Helm Lego Movies For Universal	EXCLUSIVE: The Lego Group under its deal with Universal Pictures is making three untitled live-action movies with directors Jake Kasdan, Patty Jenkins and Attack the Block filmmaker Joe Cornish.   Al… [+3032 chars]
[Removed]	[Removed]
Dwayne Johnson's $200 million-plus Christmas pic opens to $34.1 million	"Los Angeles  Moviegoers were not exactly feeling the Christmas spirit this weekend, or at least not based on their attendance at ""Red One"" showings.   The big budget, star-driven action comedy with D… [+4906 chars]"
Dwayne Johnson Wants To Reinvent Himself (Again)	You can tell a lot about a film by when its review embargo is dropped. The closer the embargo is to the release then the greater the chances are that it’s not very good. Studios do this to keep a tig… [+6953 chars]
Dwayne Johnson’s $200 million+ Christmas pic opens to $34.1 million	LOS ANGELES -- Moviegoers were not exactly feeling the Christmas spirit this weekend, or at least what Red One was offering. The big budget, star-driven action comedy with Dwayne Johnson and Chris Ev… [+3448 chars]
[Removed]	[Removed]
Box Office: Amazon-MGM's $200 Million-Plus Christmas Movie Starring Dwayne Johnson Opens to $34.1 million	LOS ANGELES (AP) Moviegoers were not exactly feeling the Christmas spirit this weekend, or at least not based on their attendance at Red One showings.  The big budget, star-driven action comedy with … [+4791 chars]
‘Red One’ Release Plans Include HDR By Barco	Amazon MGM Studios’ “Red One” will open in theaters in formats including HDR by Barco, as part of a pre-release program for the Belgian cinema tech developer’s new HDR-capable premium line of theater… [+1346 chars]
Dwayne Johnson’s ‘Red One’ Unwraps $26 Million at International Box Office, ‘Venom 3’ Nears $400 Million Globally	“Red One,” a Christmas-themed release in which Dwayne “The Rock” Johnson plays Santa’s head of security, didn’t have too big a bounty to unwrap in its international box office debut. The film collect… [+2204 chars]
Dwayne Johnson’s $200 million-plus Christmas pic, 'Red One,' opens to $34.1 million	LOS ANGELES (AP) Moviegoers were not exactly feeling the Christmas spirit this weekend, or at least not based on their attendance at Red One showings.  The big budget, star-driven action comedy with … [+4799 chars]
Dwayne Johnson’s $200 million-plus Christmas pic opens to $34.1 million	"LOS ANGELES — (AP) Moviegoers were not exactly feeling the Christmas spirit this weekend, or at least not based on their attendance at ""Red One"" showings.  The big budget, star-driven action comedy w… [+4980 chars]"
