title	content
Wicked Is a Rousing, Gorgeous, Slightly Drawn Out Musical Adventure	The Wizard of Oz, the 1939 adaptation of L. Frank Baum’s novel, is one of the most beloved films in history. And, over the past nearly 100 years, audiences have been invited to return to its world in… [+5985 chars]
Wicked is a dazzling reminder of how good movie musicals can be	Jon M. Chus Wicked adaptation gets at the heart of what makes musicals such a spectacular form of storytelling.  ByCharles Pulliam-Moore, a reporter focusing on film, TV, and pop culture. Before The … [+6710 chars]
The 'Wicked' movie only covers part of the musical. Here's everything we know about the second film.	"Cynthia Erivo as Elphaba and Ariana Grande as Glinda in ""Wicked.""Giles Keyte / Universal Pictures  <ul><li>The ""Wicked"" movie, coming to theaters on Friday, only covers part of the original musical's… [+4718 chars]"
Wow, There’s Finally Footage of Singing in Wicked	Most people probably know Wicked is a musical. After all, it’s one of the most successful musicals of this generation and is still playing for audiences all over the world. Nevertheless, from the fir… [+2569 chars]
Breaking Down Wicked’s Iconic Songs With Composer Stephen Schwartz	The Wicked Witch of the West has been a fixture in American culture for nearly 125 years. After coming to life in 1900 with L. Frank Baums novel The Wonderful Wizard of Oz, she rose to prominence ons… [+9359 chars]
Jon M. Chu Had to Watch Wicked Bootlegs Before Making the Movie	Director Jon M. Chu saw Wicked before almost everyone else in the world. Chu was one of the audience members lucky enough to see the show in its initial pre-Broadway San Francisco run way back in 200… [+5459 chars]
Wicked Director Jon M. Chu Discusses Splitting the Musical Into 2 Films	You wouldn’t know it from the trailers but it’ll be very obvious once the lights go down. Wicked, which hits theaters this week, is just part one of the story. It’s right there in the film’s title wh… [+7508 chars]
Cynthia Erivo Inks First-Look Deal With Universal Pictures	“Wicked” star Cynthia Erivo‘s production company, Edith’s Daughter, has signed a first-look deal with Universal Pictures.   The pact expands on the Tony, Grammy and Emmy-winning star’s relationship w… [+2562 chars]
‘Wicked’ Toys Packaging Mistakenly Links to Porn Website: Where Was the Copy Editor?	Who knew the family film of the year could be so controversial?  In what appears to be a major copy-editing snafu, Universal Pictures and toy company Mattel made an unfortunate error with their line … [+2089 chars]
‘Wicked’ First Reactions Praise Cynthia Erivo & Ariana Grande As “Match Made In Cinematic Musical Heaven” & Say Grande “Steals Every Scene She’s In”	The first reactions to Wicked are coming in, and early reviews praise director Jon M. Chu and the film’s stars, Cynthia Erivo and Ariana Grande.  Universal Pictures held a preview screening for film … [+5912 chars]
